id,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered
105,Koke,Atlético,Midfielder,665,9,0,1,91.2
106,Rúben Dias,Man. City,Defender,664,8,0,0,83.1
107,Mazraoui,Ajax,Defender,661,8,0,2,81.5
108,Gündoğan,Man. City,Midfielder,660,10,0,2,86.4
109,Upamecano,Bayern,Defender,660,8,0,0,82.3
110,Foden,Man. City,Midfielder,658,11,3,2,89.1
111,Seiwald,Salzburg,Midfielder,649,8,0,1,85.3
112,Estupiñán,Villarreal,Defender,645,10,0,0,76.4
113,Stones,Man. City,Defender,637,8,0,0,73.2
114,Brozović,Inter,Midfielder,635,8,1,0,89.3
115,Coman,Bayern,Forward,632,9,2,3,76.3
116,Messi,Paris,Forward,630,7,5,0,58.7
117,Tadić,Ajax,Forward,630,7,2,2,78.9
118,André,LOSC,Midfielder,630,7,0,0,80
119,Kimpembe,Paris,Defender,630,7,0,0,64.4
120,Adán,Sporting CP,Goalkeeper,630,7,0,0,36.3
121,Szczęsny,Juventus,Goalkeeper,630,7,0,0,31.4
122,De Gea,Man. United,Goalkeeper,630,7,0,0,26.4
123,Berghuis,Ajax,Forward,628,8,3,1,79.8
124,De Ligt,Juventus,Defender,627,7,0,0,71.5
125,Núñez,Benfica,Forward,613,10,6,0,72.4
126,Matheus Reis,Sporting CP,Defender,611,8,0,0,75.3
127,Ronaldo,Man. United,Forward,611,7,6,0,59.2
128,Adeyemi,Salzburg,Forward,607,8,3,1,69.2
129,Christensen,Chelsea,Defender,603,8,1,1,62.6
130,Zeki Çelik,LOSC,Defender,591,7,0,1,71.3
131,Martínez,Inter,Forward,587,8,1,0,67.4
132,Giménez,Atlético,Defender,585,7,0,0,63.3
133,Paulinho,Sporting CP,Forward,582,8,3,1,68.2
134,Sterling,Man. City,Forward,581,12,3,2,71.1
135,Nuno Mendes,Paris,Defender,581,8,0,0,62.2
136,Bonucci,Juventus,Defender,580,7,0,0,60.6
137,Kondogbia,Atlético,Midfielder,578,9,0,0,71.3
138,De Paul,Atlético,Midfielder,577,9,1,0,74.5
139,Antony,Ajax,Forward,577,7,2,5,65.1
140,Walker,Man. City,Defender,577,7,1,0,64.1
141,João Félix,Atlético,Forward,573,8,1,1,68.5
142,Wöber,Salzburg,Defender,573,7,1,0,66.5
143,Blind,Ajax,Defender,572,8,1,1,70.9
144,L. Hernández,Bayern,Defender,572,8,0,0,69.4
145,J. Timber,Ajax,Midfielder,570,8,0,0,64.9
146,Jorginho,Chelsea,Midfielder,561,8,2,2,68.7
147,Gonçalo Inácio,Sporting CP,Defender,561,7,0,1,60.7
148,Álvarez,Ajax,Midfielder,558,7,0,0,73
149,Alex Sandro,Juventus,Defender,553,7,1,0,69
150,Alonso,Chelsea,Defender,548,8,0,0,68.9
151,Everton,Benfica,Forward,543,9,0,0,67.1
152,Džeko,Inter,Forward,541,7,3,1,64.6
153,Vanaken,Club Brugge,Midfielder,540,6,3,1,69.4
154,S. Thill,Sheriff,Midfielder,540,6,2,1,76.8
155,Coates,Sporting CP,Defender,540,6,2,0,50.9
156,Arnold,Wolfsburg,Midfielder,540,6,0,3,67.3
157,Cristiano,Sheriff,Defender,540,6,0,3,63.2
158,Zabarnyi,Dynamo Kyiv,Defender,540,6,0,0,67.1
159,Fernando,Sevilla,Midfielder,540,6,0,0,66.6
160,Fernando Costanza,Sheriff,Defender,540,6,0,0,64.6
161,Dodô,Shakhtar Donetsk,Defender,540,6,0,0,64.5
162,Barrios,Zenit,Midfielder,540,6,0,0,61.5
163,Lacroix,Wolfsburg,Defender,540,6,0,0,61.3
